id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
51583,59824,Botanica: Earthbound,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70874,2899,EarthBound,"The story begins when Ness is awakened by a meteor that has plummeted to the earth near his home, whereupon he proceeds to investigate the crash site. When Ness gets to the crash site he discovers a police roadblock and Pokey Minch, his friend and neighbor, who tells him to go home. Later, Ness is woken up again by Pokey knocking at his door, demanding help to find his brother Picky.  They find him near the meteor sleeping behind a tree and wake him up. Then the three encounter an insect from the meteor named Buzz Buzz who informs Ness that he is from the future where the ""universal cosmic destroyer"", Giygas, dominates the planet. Buzz Buzz senses great potential in Ness and instructs him to embark on a journey to seek out and record the melodies of eight ""sanctuaries,"" unite his own powers with the Earth's and gain the strength required to confront Giygas.",1994-08-27 00:00:00.000,132,NULL,93.3333,3,89.5276,332
136334,133324,EarthBound 64,"EarthBound 64 would probably get most of the plot points that pertained to the later released Mother 3. In that game, chaos ensues after an invasion by the Pigmask Army, named after the uniforms, which resemble pigs, and its leader, Porky Minch, the ""Pig King"". They slowly construct a police state, while experimenting on the land's flora and fauna, and introducing new technology and infrastructure to the islands. The various chapters record the life of a boy named Lucas and his family and friends, banding together to rid the Nowhere Islands of the Pigmask Army.",NULL,NULL,1,NULL,NULL,NULL,NULL
136872,78559,Earthbound,NULL,1983-12-31 00:00:00.000,NULL,NULL,NULL,NULL,91.0000,4
142299,11191,EarthBound Beginnings,"EarthBound Beginnings follows the young Ninten as he uses his great-grandfather's studies on psychic powers to fight hostile, formerly inanimate objects and other enemies. His adventure leads him to new friends and eventually uncovering an alien plot that must be stopped.",1989-07-27 00:00:00.000,12,NULL,NULL,NULL,67.0336,36
159691,76480,Botanica: Earthbound - Collector's Edition,NULL,2017-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
